ID,Institucion educativa,Ranking institución educativa,Origen institución educativa,Número de créditos programa educativo,nombreareaconocimiento,Metodología programa educativo,Area programa educativo,Periodicidad programa educativo,Numero periodos programa educativo,Titulo egresado,Opiniones institución educativa,Link,image_url
54,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,170,Ciencias sociales y humanas,Presencial,Derecho y afines,Semestral,10,ABOGADO,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
55,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,156,Economía administración contaduría y afines,Presencial,Economía,Semestral,9,ECONOMISTA,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
56,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,246,Ciencias de la salud,Presencial,Medicina,Semestral,12,MEDICO,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
57,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,175,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería civil y afines,Semestral,10,INGENIERO CIVIL,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
58,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,175,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO EN MECATRONICA,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
59,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,157,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería de sistemas telemática y afines,Semestral,10,INGENIERO EN MULTIMEDIA,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
60,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,159,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería electrónica telecomunicaciones y afines,Semestral,9,INGENIERO EN TELECOMUNICACIONES,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
61,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,156,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,9,INGENIERO INDUSTRIAL,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
62,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,160,Ciencias sociales y humanas,Presencial,Ciencia política relaciones internacionales,Semestral,9,PROFESIONAL EN RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
63,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,62,Público,156,Economía administración contaduría y afines,Presencial,Administración,Semestral,10,ADMINISTRADOR DE EMPRESAS COMERCIALES,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png
