ID,Area programa educativo,Titulo egresado
317,Otras ingenierías,INGENIERO EN MULTIMEDIA
318,Educación,LICENCIADO(A) EN EDUCACIÓN INFANTIL
319,Educación,LICENCIADO EN FILOSOFIA
320,Educación,LICENCIADO EN TEOLOGIA
321,Lenguas modernas literatura linguística y afines,PROFESIONAL EN LENGUA INGLESA
322,Filosofía teología y afines,TEÓLOGO/A
323,Psicología,PSICOLOGO
324,Administración,PROFESIONAL EN RELACIONES INTERNACIONALES
325,Administración,ADMINISTRADOR DE EMPRESAS
326,Arquitectura,ARQUITECTO
327,Derecho y afines,ABOGADO
328,Economía,ECONOMISTA
329,Ingeniería civil y afines,INGENIERO CIVIL
330,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS  Y COMPUTACIÓN
331,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO Y DE TELECOMUNICACIONES
332,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
333,Psicología,PSICOLOGO
334,Administración,ADMINISTRADOR DE NEGOCIOS
335,Administración,ADMINISTRADOR AMBIENTAL
336,Administración,ADMINISTRADOR DE EMPRESAS
337,Ingeniería de sistemas telemática y afines,INGENIERO EN CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL
338,Administración,PROFESIONAL EN COMERCIO INTERNACIONAL
339,Sin clasificar,COMUNICADOR (A) SOCIAL Y PERIODISTA DIGITAL
340,Sin clasificar,CONTADOR P¿BLICO DIGITAL TECH
341,Derecho y afines,ABOGADO (A)
342,Ingeniería de sistemas telemática y afines,DISEÑADOR (A) DIGITAL
343,Economía,ECONOMISTA
344,Filosofía teología y afines,PROFESIONAL EN FILOSOFIA Y HUMANIDADES
345,Sin clasificar,PROFESIONAL EN FINANZAS FINTECH  Y COMERCIO EXTERIOR
346,Administración,PROFESIONAL EN FINANZAS INTERNACIONALES
347,Administración,PROFESIONAL EN GESTIÓN DEPORTIVA
348,Sin clasificar,HISTORIADOR
349,Ingeniería ambiental sanitaria y afines,INGENIERO AMBIENTAL
350,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO
351,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
352,Sin clasificar,PROFESIONAL EN INNOVACION Y TECNOLOGIA  ECONOMICA
353,Sin clasificar,PROFESIONAL EN INVESTIGACIÓN CRIMINAL
354,Sin clasificar,LICENCIADO DIGITAL EN HUMANIDADES CL¿SICAS Y LENGUA CASTELLANA
355,Educación,LICENCIADO EN FILOSOFIA Y LETRAS
356,Sin clasificar,LICENCIADO (A) EN PEDAGOGÍA DIGITAL PARA LA PRIMERA INFANCIA
357,Administración,PROFESIONAL EN LOGÍSTICA EMPRESARIAL
358,Sin clasificar,PROFESIONAL EN MARKETING INTEGRAL Y NEGOCIOS GLOBALES
359,Matemáticas estadística y afines,MATEMATICO
360,Música,MAESTRO EN MUSICA
362,Sin clasificar,PROFESIONAL EN NEGOCIOS ESTRATÉGICOS DE MODA
363,Ciencia política relaciones internacionales,PROFESIONAL EN POLÍTICA Y RELACIONES INTERNACIONALES
364,Psicología,PSICÓLOGO
365,Ciencia política relaciones internacionales,PROFESIONAL EN PUBLICIDAD INTERNACIONAL
366,Artes representativas,MAESTRO EN TEATRO MUSICAL
398,Administración,ADMINISTRADOR DE EMPRESAS
399,Administración,ADMINISTRADOR DEPORTIVO
400,Administración,ADMINISTRADOR LOGÍSTICO
401,Administración,ADMINISTRADOR TURÍSTICO Y HOTELERO
402,Derecho y afines,ABOGADO
403,Comunicación social periodismo y afines,PROFESIONAL EN DIRECCION Y PRODUCCION DE CINE Y TELEVISION
404,Enfermería,ENFERMERO (A)
405,Terapias,PROFESIONAL EN FISIOTERAPIA
406,Terapias,FONOAUDIOLOGO
407,Ingeniería ambiental sanitaria y afines,INGENIERO AMBIENTAL
408,Ingeniería biomédica y afines,INGENIERO BIOMEDICO
409,Ingeniería de sistemas telemática y afines,INGENIERO DE SOFTWARE
410,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
411,Sin clasificar,INGENIERO MECATRÓNICO
412,Artes plásticas visuales y afines,PROFESIONAL EN PRODUCCIÓN Y COMUNICACIÓN TRANSMEDIA
413,Otros programas asociados a bellas artes,PROFESIONAL EN ARTES GASTRONOMICAS
414,Terapias,PROFESIONAL EN CIENCIAS DEL DEPORTE
